timestamp,latency_ms
1747578138299,514
1747578138350,465
1747578138400,413
1747578138451,363
1747578138502,312
1747578138554,260
1747578138604,210
1747578138655,159
1747578138706,108
1747578138757,58
1747578138808,584
1747578138859,533
1747578138910,483
1747578138961,431
1747578139012,379
1747578139063,329
1747578139114,278
1747578139165,227
1747578139216,176
1747578139268,124
1747578139319,591
1747578139370,539
1747578139421,489
1747578139472,437
1747578139523,386
1747578139574,336
1747578139625,284
1747578139676,234
1747578139727,182
1747578139778,131
1747578139829,610
1747578139880,558
1747578139931,506
1747578139982,456
1747578140033,404
1747578140084,354
1747578140135,302
1747578140186,252
1747578140237,202
1747578140288,148
1747578140339,625
1747578140390,575
1747578140441,523
1747578140492,472
1747578140543,421
1747578140594,371
1747578140645,319
1747578140696,268
1747578140747,217
1747578140798,165
1747578140849,668
1747578140900,617
1747578140951,566
1747578141002,516
1747578141053,463
1747578141104,412
1747578141155,363
1747578141206,311
1747578141257,261
1747578141307,209
1747578141358,724
1747578141409,672
1747578141460,622
1747578141512,571
1747578141564,517
1747578141615,466
1747578141666,416
1747578141717,365
1747578141768,314
1747578141819,262
1747578141870,496
1747578141921,444
1747578141972,394
1747578142023,342
1747578142075,290
1747578142126,240
1747578142177,188
1747578142228,138
1747578142279,86
1747578142330,35
1747578142381,515
1747578142432,463
1747578142483,412
1747578142534,362
1747578142585,310
1747578142636,259
1747578142689,207
1747578142739,157
1747578142790,106
1747578142841,53
1747578142892,541
1747578142942,492
1747578142993,442
1747578143044,390
1747578143095,339
1747578143146,289
1747578143197,237
1747578143248,187
1747578143299,136
1747578143350,84
1747578143400,577
1747578143452,525
1747578143503,471
1747578143554,422
1747578143605,369
1747578143656,318
1747578143707,270
1747578143758,218
1747578143809,168
1747578143859,114
1747578143910,613
1747578143961,563
1747578144012,512
1747578144063,460
1747578144114,410
1747578144165,359
1747578144216,308
1747578144267,257
1747578144319,205
1747578144369,155
1747578144420,635
1747578144471,586
1747578144522,533
1747578144573,483
1747578144624,432
1747578144675,381
1747578144726,330
1747578144777,279
1747578144828,228
1747578144879,176
1747578144930,649
1747578144981,598
1747578145032,547
1747578145083,496
1747578145134,444
1747578145185,394
1747578145236,343
1747578145287,292
1747578145338,240
1747578145389,189
1747578145440,656
1747578145491,605
1747578145542,553
1747578145593,503
1747578145644,452
1747578145696,400
1747578145746,350
1747578145797,299
1747578145848,248
1747578145899,196
1747578145950,674
1747578146001,624
1747578146052,573
1747578146103,522
1747578146153,470
1747578146204,420
1747578146255,368
1747578146307,316
1747578146357,266
1747578146408,217
1747578146459,676
1747578146510,626
1747578146561,575
1747578146612,523
1747578146663,472
1747578146714,422
1747578146765,370
1747578146816,319
1747578146866,270
1747578146916,219
1747578146967,717
1747578147018,666
1747578147069,617
1747578147120,564
1747578147170,514
1747578147221,463
1747578147272,412
1747578147323,361
1747578147374,310
1747578147426,258
1747578147477,506
1747578147528,454
1747578147580,403
1747578147630,352
1747578147682,300
1747578147732,251
1747578147783,199
1747578147835,148
1747578147886,97
1747578147936,46
1747578147987,525
1747578148038,474
1747578148090,422
1747578148141,371
1747578148192,319
1747578148243,268
1747578148292,220
1747578148343,169
1747578148394,118
1747578148445,67
1747578148496,543
1747578148547,492
1747578148598,442
1747578148649,390
1747578148700,339
1747578148751,288
1747578148802,237
1747578148853,187
1747578148904,135
1747578148955,85
1747578149006,573
1747578149057,522
1747578149108,471
1747578149161,418
1747578149212,367
1747578149263,316
1747578149314,264
1747578149365,214
1747578149416,163
1747578149467,111
1747578149518,591
1747578149569,540
1747578149620,490
1747578149671,439
1747578149722,387
1747578149773,337
1747578149825,284
1747578149875,235
1747578149927,183
1747578149977,132
1747578150028,649
1747578150078,599
1747578150129,548
1747578150180,497
1747578150231,445
1747578150282,395
1747578150333,343
1747578150384,293
1747578150435,242
1747578150486,190
1747578150537,672
1747578150587,622
1747578150638,571
1747578150689,520
1747578150740,469
1747578150791,417
1747578150842,367
1747578150893,316
1747578150945,264
1747578150995,213
1747578151046,756
1747578151096,706
1747578151146,656
1747578151197,605
1747578151248,555
1747578151299,504
1747578151351,451
1747578151401,401
1747578151452,351
1747578151503,299
1747578151555,540
1747578151606,489
1747578151657,438
1747578151708,387
1747578151759,336
1747578151809,286
1747578151860,235
1747578151911,184
1747578151962,133
1747578152013,81
1747578152064,620
1747578152115,568
1747578152166,518
1747578152217,468
1747578152268,416
1747578152318,366
1747578152369,314
1747578152420,264
1747578152471,213
1747578152522,162
1747578152573,678
1747578152625,626
1747578152676,575
1747578152727,524
1747578152779,472
1747578152830,421
1747578152881,370
1747578152934,318
1747578152985,266
1747578153036,215
1747578153087,716
1747578153138,665
1747578153189,615
1747578153240,564
1747578153291,512
1747578153342,462
1747578153393,411
1747578153443,360
1747578153494,309
1747578153545,258
1747578153596,494
1747578153647,443
1747578153697,393
1747578153748,342
1747578153800,291
1747578153850,240
1747578153901,189
1747578153952,138
1747578154003,88
1747578154053,37
1747578154103,553
1747578154155,501
1747578154205,451
1747578154258,397
1747578154309,346
1747578154360,296
1747578154410,246
1747578154462,194
1747578154513,143
1747578154563,92
1747578154616,600
1747578154667,548
1747578154718,498
1747578154769,447
1747578154820,395
1747578154871,344
1747578154922,294
1747578154972,244
1747578155024,191
1747578155075,140
1747578155126,626
1747578155177,576
1747578155227,525
1747578155279,474
1747578155330,422
1747578155381,372
1747578155432,321
1747578155483,270
1747578155534,219
1747578155585,167
1747578155635,707
1747578155686,655
1747578155738,604
1747578155789,553
1747578155841,500
1747578155892,449
1747578155943,398
1747578155994,348
1747578156045,297
1747578156095,246
1747578156147,501
1747578156197,450
1747578156249,399
1747578156299,348
1747578156350,297
1747578156401,247
1747578156451,196
1747578156503,144
1747578156553,95
1747578156605,42
1747578156656,530
1747578156707,480
1747578156759,428
1747578156810,377
1747578156860,326
1747578156914,273
1747578156966,220
1747578157016,171
1747578157067,119
1747578157117,69
1747578157169,570
1747578157220,518
1747578157271,468
1747578157321,418
1747578157372,367
1747578157423,316
1747578157473,266
1747578157525,214
1747578157576,163
1747578157627,112
1747578157677,613
1747578157729,561
1747578157780,510
1747578157831,459
1747578157881,409
1747578157932,358
1747578157983,307
1747578158033,257
1747578158085,205
1747578158135,155
1747578158186,657
1747578158237,605
1747578158288,555
1747578158340,503
1747578158390,451
1747578158442,400
1747578158493,352
1747578158545,298
1747578158595,248
1747578158647,194
1747578158697,718
1747578158748,667
1747578158799,616
1747578158849,566
1747578158899,515
1747578158950,465
1747578159001,414
1747578159052,364
1747578159104,313
1747578159154,261
1747578159205,502
1747578159257,450
1747578159308,399
1747578159359,348
1747578159410,297
1747578159461,246
1747578159511,197
1747578159563,145
1747578159614,94
1747578159664,43
1747578159716,574
1747578159768,522
1747578159819,471
1747578159870,420
1747578159921,369
1747578159972,318
1747578160022,268
1747578160073,217
1747578160126,164
1747578160177,112
1747578160228,625
1747578160279,574
1747578160330,523
1747578160380,473
1747578160432,421
1747578160482,371
1747578160533,321
1747578160584,270
1747578160634,219
1747578160685,168
1747578160737,676
1747578160787,626
1747578160839,574
1747578160891,521
1747578160942,470
1747578160994,419
1747578161044,369
1747578161096,316
1747578161146,267
1747578161198,215
1747578161249,719
1747578161300,668
1747578161351,617
1747578161402,566
1747578161452,517
1747578161503,466
1747578161553,415
1747578161604,365
1747578161655,314
1747578161706,263
1747578161757,523
1747578161808,473
1747578161859,421
1747578161909,372
1747578161960,320
1747578162012,268
1747578162062,218
1747578162113,167
1747578162164,117
1747578162214,67
1747578162266,606
1747578162317,555
1747578162368,504
1747578162419,453
1747578162469,404
1747578162521,351
1747578162572,300
1747578162623,249
1747578162674,198
1747578162726,146
1747578162777,683
1747578162828,632
1747578162878,582
1747578162929,531
1747578162980,480
1747578163031,429
1747578163081,379
1747578163134,326
1747578163185,275
1747578163235,226
1747578163287,1190
1747578163338,1140
1747578163389,1091
1747578163439,1038
1747578163491,987
1747578163542,935
1747578163592,889
1747578163644,837
1747578163694,787
1747578163746,731
1747578163797,1646
1747578163847,1596
1747578163899,1543
1747578163950,2036
1747578164001,1442
1747578164052,1934
1747578164103,1340
1747578164153,1833
1747578164204,1782
1747578164255,1187
1747578164306,1136
1747578164357,1085
1747578164407,1035
1747578164459,983
1747578164512,1474
1747578164563,1423
1747578164614,2189
1747578164665,2138
1747578164716,2088
1747578164767,2901
1747578164817,1987
1747578164869,1116
1747578164920,1884
1747578164971,1015
1747578165021,1783
1747578165073,2597
1747578165123,1680
1747578165174,2488
