timestamp,latency_ms
1747578139472,437
1747578139676,234
1747578139778,131
1747578140033,404
1747578140492,472
1747578140594,371
1747578140696,268
1747578140798,165
1747578140951,566
1747578141053,463
1747578141512,571
1747578141666,416
1747578141819,262
1747578141870,496
1747578142023,342
1747578142075,290
1747578142126,240
1747578142330,35
1747578142381,515
1747578142483,412
1747578142534,362
1747578142892,541
1747578143095,339
1747578143146,289
1747578143248,187
1747578143350,84
1747578143400,577
1747578143452,525
1747578143605,369
1747578143707,270
1747578143758,218
1747578144063,460
1747578144319,205
1747578144369,155
1747578144573,483
1747578144777,279
1747578144879,176
1747578144930,649
1747578144981,598
1747578145185,394
1747578145236,343
1747578145389,189
1747578145593,503
1747578145797,299
1747578145950,674
1747578146001,624
1747578146153,470
1747578146357,266
1747578146561,575
1747578146612,523
1747578146765,370
1747578146866,270
1747578146916,219
1747578147170,514
1747578147221,463
1747578147323,361
1747578147374,310
1747578147477,506
1747578147528,454
1747578147630,352
1747578147732,251
1747578147783,199
1747578147835,148
1747578148090,422
1747578148192,319
1747578148292,220
1747578148394,118
1747578148496,543
1747578148751,288
1747578148802,237
1747578149108,471
1747578149314,264
1747578149365,214
1747578149416,163
1747578149467,111
1747578149569,540
1747578149773,337
1747578149825,284
1747578149875,235
1747578149977,132
1747578150129,548
1747578150231,445
1747578150435,242
1747578150537,672
1747578150638,571
1747578150689,520
1747578150842,367
1747578150995,213
1747578151046,756
1747578151299,504
1747578151503,299
1747578151606,489
1747578151708,387
1747578152064,620
1747578152115,568
1747578152369,314
1747578152522,162
1747578152625,626
1747578152727,524
1747578153240,564
1747578153596,494
1747578153697,393
1747578153800,291
1747578153850,240
1747578153901,189
1747578154053,37
1747578154258,397
1747578154360,296
1747578154410,246
1747578154462,194
1747578154513,143
1747578154563,92
1747578154769,447
1747578154820,395
1747578154871,344
1747578154922,294
1747578155279,474
1747578155381,372
1747578155432,321
1747578155483,270
1747578155585,167
1747578155789,553
1747578155892,449
1747578156045,297
